n,factorization,num_factors,n_mod6,wing,num_left_factors
395136505,5*37*1289*1657,4,1,right,2
396262945,5*13*17*97*3697,5,1,right,2
399906001,11*241*251*601,4,1,right,2
403043257,19*37*43*67*199,5,1,right,0
403317421,13*61*67*7591,4,1,right,0
405739681,229*457*3877,3,1,right,0
413058601,31*73*349*523,4,1,right,0
413138881,617*661*1013,3,1,right,2
413631505,5*7*17*73*89*107,6,1,right,4
416964241,127*991*3313,3,1,right,0
417241045,5*13*19*23*37*397,6,1,right,2
419520241,7*31*41*61*773,5,1,right,2
426821473,13*127*419*617,4,1,right,2
429553345,5*13*97*193*353,5,1,right,2
434330401,43*97*101*1031,4,1,right,2
434932961,41*881*12041,3,5,left,3
438359041,29*71*211*1009,4,1,right,2
440306461,7*307*331*619,4,1,right,0
440707345,5*13*29*113*2069,5,1,right,4
455106601,19*41*53*73*151,5,1,right,2
458368201,31*151*181*541,4,1,right,0
461502097,7*67*229*4297,4,1,right,0
461854261,11*19*29*181*421,5,1,right,2
462199681,19*193*241*523,4,1,right,0
471441001,41*61*251*751,4,1,right,2
471905281,31*991*15361,3,1,right,0
473847121,11*31*1021*1361,4,1,right,2
477726145,5*13*113*193*337,5,1,right,2
481239361,181*271*9811,3,1,right,0
483006889,157*313*9829,3,1,right,0
484662529,13*29*433*2969,4,1,right,2
490099681,17*29*43*61*379,5,1,right,2
490503601,7*17*19*401*541,5,1,right,2
492559141,367*733*1831,3,1,right,0
496050841,11*13*19*41*61*73,6,1,right,2
499310197,23*29*67*11173,4,1,right,2
503758801,7*13*61*151*601,5,1,right,0
507726901,11*181*271*941,4,1,right,2
509033161,7*13*19*37*73*109,6,1,right,0
510825601,11*13*41*151*577,5,1,right,2
511338241,19*43*613*1021,4,1,right,0
516684961,13*17*89*109*241,5,1,right,2
517937581,7*37*1291*1549,4,1,right,0
518117041,13*17*41*211*271,5,1,right,2
518706721,13*43*433*2143,4,1,right,0
527761081,19*31*37*61*397,5,1,right,0
529782121,11*29*1129*1471,4,1,right,2
530443201,31*71*401*601,4,1,right,2
532758241,97*673*8161,3,1,right,0
533860309,19*37*109*6967,4,1,right,0
540066241,11*13*19*197*1009,5,1,right,2
542497201,263*787*2621,3,1,right,2
544101481,7*11*59*229*523,5,1,right,2
545363281,17*23*43*163*199,5,1,right,2
545570641,7*11*41*61*2833,5,1,right,2
547652161,7*17*709*6491,4,1,right,2
548871961,11*41*61*71*281,5,1,right,4
549117205,5*7*13*103*11717,5,1,right,2
549333121,17*61*197*2689,4,1,right,2
549538081,29*61*241*1289,4,1,right,2
551672221,229*571*4219,3,1,right,0
552894301,43*61*101*2087,4,1,right,2
555465601,401*641*2161,3,1,right,2
556199281,11*37*43*61*521,5,1,right,2
556450777,19*109*139*1933,4,1,right,0
557160241,11*31*421*3881,4,1,right,2
557795161,7*11*53*103*1327,5,1,right,2
558570961,13*61*73*9649,4,1,right,0
558977761,89*881*7129,3,1,right,2
561481921,7*11*13*41*13681,5,1,right,2
561777121,17*41*61*73*181,5,1,right,2
564651361,43*3361*3907,3,1,right,0
568227241,31*37*41*43*281,5,1,right,2
569332177,239*1429*1667,3,1,right,2
573896881,19*109*181*1531,4,1,right,0
577240273,19*29*73*113*127,5,1,right,2
579606301,109*541*9829,3,1,right,0
580565233,53*79*313*443,4,1,right,2
590754385,5*13*109*199*419,5,1,right,2
593234929,7*19*23*89*2179,5,1,right,2
595405201,61*101*241*401,4,1,right,2
597717121,71*911*9241,3,1,right,2
600892993,19*59*577*929,4,1,right,2
602074585,5*7*137*307*409,5,1,right,2
602426161,17*41*421*2053,4,1,right,2
602593441,17*41*61*14173,4,1,right,2
606057985,5*13*109*113*757,5,1,right,2
609865201,11*31*41*181*241,5,1,right,2
611397865,5*13*19*29*43*397,6,1,right,2
612347905,5*13*17*29*97*197,6,1,right,4
612816751,251*751*3251,3,1,right,2
616463809,13*17*97*149*193,5,1,right,2
618068881,17*53*73*9397,4,1,right,2
620169409,193*577*5569,3,1,right,0
621101185,5*89*97*14389,4,1,right,2
625060801,193*1249*2593,3,1,right,0
625482001,241*1201*2161,3,1,right,0
629692801,17*31*41*151*193,5,1,right,2
631071001,11*29*37*127*421,5,1,right,2
633639097,7*13*37*307*613,5,1,right,0
638959321,7*11*13*31*59*349,6,1,right,2
642708001,13*17*881*3301,4,1,right,2
652969351,271*811*2971,3,1,right,0
656187001,41*101*211*751,4,1,right,2
662086041,3*89*617*4019,4,3,div3,3
672389641,7*11*37*53*61*73,6,1,right,2
683032801,11*101*241*2551,4,1,right,2
683379841,23*31*41*97*241,5,1,right,2
684106401,3*11*17*401*3041,5,3,div3,4
686059921,149*1481*3109,3,1,right,2
